addition

neighborhood

basement

station

gender

station

floor

middle

area

front

moment

sparking

water

water

table

glass

service

waiter

direction

menu

pozole

pollo

corn

corn

stew

menu

go

order

confidence

matter

rosie

fun

clean

plenty

light

everyone

street

fun

food

guacamole

corn

tortilla

guacamole

bit

spicy

appetizer

bbq

sauce

bit

spicy

guac

dish

huevos

ahogados

kale

mushroom

soup

soup

egg

soup

friend

taco

hongos

mushroom

taco

end

water

water

plus

restaurant

price

level

friend

college

assignment

japan

restaurant

rosie

seating

shot

food

sam

smith

partner

celebrity

rosie

pork

sandwich

torta

waitress

mexican

hand

pork

meet

juicy

chewy

bread

greasy

part

tortilla

texture

share

citrica

salad

waitress

nothing

plate

grape

lettuce

margarita

watermelon

friend

rosie

bartender

order

waitress

apologizing

thing

guacamole

cost

weather

sorta

taco

brunch

moody

maria

vodka

staff

nyc

everything

reason

place

pour

brunch

nothing

fan

food

place

spot

waitress

doll

skinny

ala

plancha

display

lot

place

dinner

everyone

york

rosie

seating

summer

staff

waiter

watermelon

margarita

beef

chicken

corn

salsa

everything

quality

food

rosie

staff

food

atmosphere

ceviche

guacamole

time

nyc

hour

weekday

time

bar

area

hh

food

deal

town

fish

food

pork

veggie

hh

try

dinner

pair

food

dream

come

rosie

something

village

deal

tortilla

manhattan

tacos/quesadillas/etc

dining

area

floor

ceiling

awesome

service

watermelon

margarita

summer

refreshment

food

city

spicy

food

food

york

place

food

standard

bartender

bit

icy

personality

server

awhile

someone

food

super

quick

seating

ambiance

weather

cam

brunch

time

reservation

party

otherwise

afternoon

table

order

margarita

guacamole

fundido

everything

guacamole

lunch

al

pastor

taco

shrimp

favorite

pastor

taco

pork

pineapple

atmosphere

d

cor

service

place

nyc

experience

esp

church

reservation

guacamole

haha

lighting

everyone

share

hand

space

line

taste

crunchy

salsa

nothing

pork

taco

el

pastor

lime

flavor

sauce

taco

taco

spicy

creme

top

veggie

top

fish

check

experience

service

kind

patient

price

nyc

shrimp

order

watermelon

margarita

order

pescado

taco

friend

taste

bud

order

taco

pitcher

go

spot

summertime

guac

margs

reservation

hype

rosie

try

taco

bar

cool

table

order

feast

el

pastor

taco

water

mouth

dish

chorizo

fundido

date

steak

steak

steak

date

onion

pepper

shallot

taco

taco

spot

experience

service

food

default

taco

everyone

spice

hell

taco

corn

tortilla

serving

meat

taste

stretch

homemade

lead

taco

ny

guac

salsa

harbinger

flavor

taco

david

server

sweetheart

couple

tortilla

stamen

food

tortilla

guacamole

spot

pescado

taco

order

order

pitcher

watermelon

margarita

glass

addition

neighborhood

basement

station

gender

station

floor

middle

area

front

moment

sparking

water

water

table

glass

service

waiter

direction

menu

pozole

pollo

corn

corn

stew

menu

go

order

confidence

matter

rosie

fun

clean

plenty

light

everyone

street

fun

food

guacamole

corn

tortilla

guacamole

bit

spicy

appetizer

bbq

sauce

bit

spicy

guac

dish

huevos

ahogados

kale

mushroom

soup

soup

egg

soup

friend

taco

hongos

mushroom

taco

end

water

water

plus

restaurant

price

level

friend

college

assignment

japan

restaurant

rosie

seating

shot

food

sam

smith

partner

celebrity

rosie

pork

sandwich

torta

waitress

mexican

hand

pork

meet

juicy

chewy

bread

greasy

part

tortilla

texture

share

citrica

salad

waitress

nothing

plate

grape

lettuce

margarita

watermelon

friend

rosie

bartender

order

waitress

apologizing

thing

guacamole

cost

weather

sorta

taco

brunch

moody

maria

vodka

staff

nyc

everything

reason

place

pour

brunch

nothing

fan

food

place

spot

waitress

doll

skinny

ala

plancha

display

lot

place

dinner

everyone

york

rosie

seating

summer

staff

waiter

watermelon

margarita

beef

chicken

corn

salsa

everything

quality

food

rosie

staff

food

atmosphere

ceviche

guacamole

time

nyc

hour

weekday

time

bar

area

hh

food

deal

